station_id,name
7211,Fort York Blvd / Garrison Rd
7216,Wellington St W / Stafford St
7217,Soho St / Queen St W
7220,Lake Shore Blvd W / Ellis Ave
7221,High Park Subway Station
7222,Sunnyside - Gus Ryder Pool
7223,Parkside Dr / Bloor St W - SMART
7224,Bloor St W / High Park Ave (High Park)
7225,Lake Shore Blvd W / Windermere Ave
7226,Lake Shore Blvd W / The Boulevard Club
7227,Martin Goodman Trail (Marilyn Bell Park)
7228,King St W / Wilson Park Blvd
7229,2201 Dundas St W
7230,Garden Ave / Roncesvalles Ave
7231,Wright Ave / Sorauren Ave - SMART
7232,Queen St W  /  Fuller Ave - SMART
7233,King St W / Cowan Ave - SMART
7234,Roncesvalles Ave / Marmaduke St
7235,Bay St / College St (West Side) - SMART
7236,Thompson St / Broadview Ave - SMART
7237,Ward St / Wallace Ave
7238,Sorauren Ave / Geoffrey St - SMART
7239,Bloor St W / Manning Ave - SMART
7240,Bloor St W / Shaw St - SMART
7241,519 Church St
7242,Lake Shore Blvd W / Ontario Dr
7243,Exhibition GO Station
7244,Dufferin Gate - SMART
7245,Tecumseth St / Queen St W - SMART
7246,Yonge St / Bloor St
7247,Howard Park Ave / Dundas St W - SMART
7248,Baldwin St / Spadina Ave - SMART
7249,144 Harrison St
7250,Ursula Franklin St / St. George St - SMART
7252,Robert St / Bloor St W - SMART
7253,John St  / Mercer St - SMART
7256,Vanauley St / Queen St W - SMART
7257,Dundas St W / St. Patrick St
7258,Queen St E / Rushbrooke Ave
7259,Lower Spadina Ave / Lake Shore Blvd W
7260,Spadina Ave / Adelaide St W
7261,Queens Quay E / Lower Sherbourne St
7262,Wychwood Ave / Benson Ave - SMART
7263,Walton St / Elizabeth St - SMART
7264,Bloor St E / Huntley St - SMART
7265,Wallace Ave / Symington Ave - SMART
7266,Victoria Park Subway Station - SMART
7267,Dundas St E / Pembroke St
7268,111 Bond St (North of Dundas St E)  - SMART
7269,Toronto Eaton Centre (Yonge St) - SMART
